BL,Black Label: black lettering on the sidewall
BS,Black Stylized
BSW,Black Sidewall
NW,White sidewall
OBL,Outlined Black Letters
OWL,Off White Letters / White Letters
OWT,Outlined white letters
RB,Black lettering surrounded by white on the sidewall
RBL,Raised or Recessed black letters
RBT,Raised black letters Tubless
RGL,Raised Gold Letters
RWL,Raised white Letters
SBL,Serrated Black Letters
SB,Serrated Black Stripe
VSB,Vertical serrated Band
WL,Off White Letters / White Letters
WW,White sidewall
WWW,White sidewall
